DATE	ASS_ASSIGNMENT	prediction
2012-12-28 00:00:00	CMS	0.0
2012-12-28 00:00:00	Crises	0.0
2012-12-28 00:00:00	Domicile	0.0
2012-12-28 00:00:00	Gestion	0.0
2012-12-28 00:00:00	Gestion - Accueil Telephonique	0.0
2012-12-28 00:00:00	Gestion Assurances	0.0
2012-12-28 00:00:00	Gestion Relation Clienteles	0.0
2012-12-28 00:00:00	Gestion Renault	0.0
2012-12-28 00:00:00	Japon	0.644170976850682
2012-12-28 00:00:00	Médical	1.0800615002959435
2012-12-28 00:00:00	Nuit	14.794695690830906
2012-12-28 00:00:00	RENAULT	0.0
2012-12-28 00:00:00	Regulation Medicale	0.13060701265177332
2012-12-28 00:00:00	SAP	0.0
2012-12-28 00:00:00	Services	0.7525620000586164
2012-12-28 00:00:00	Tech. Axa	2.6109371746347154
2012-12-28 00:00:00	Tech. Inter	0.20816019146191245
2012-12-28 00:00:00	Téléphonie	32.760527544569925
2012-12-28 00:30:00	CMS	0.0
2012-12-28 00:30:00	Crises	0.0
2012-12-28 00:30:00	Domicile	0.09515575521487296
2012-12-28 00:30:00	Gestion	0.0
2012-12-28 00:30:00	Gestion - Accueil Telephonique	0.0
2012-12-28 00:30:00	Gestion Assurances	0.0
2012-12-28 00:30:00	Gestion Relation Clienteles	0.0
2012-12-28 00:30:00	Gestion Renault	0.0
2012-12-28 00:30:00	Japon	0.09515575521487296
2012-12-28 00:30:00	Médical	0.5967721991620456
2012-12-28 00:30:00	Nuit	11.640531400675693
2012-12-28 00:30:00	RENAULT	0.18941457679047424
2012-12-28 00:30:00	Regulation Medicale	0.0
2012-12-28 00:30:00	SAP	0.0
2012-12-28 00:30:00	Services	0.09515575521487296
2012-12-28 00:30:00	Tech. Axa	3.7463240495795813
2012-12-28 00:30:00	Tech. Inter	0.09515575521487296
2012-12-28 00:30:00	Téléphonie	27.886584869075225
2012-12-28 01:00:00	CMS	0.0
2012-12-28 01:00:00	Crises	0.0
2012-12-28 01:00:00	Domicile	0.09515575521487296
2012-12-28 01:00:00	Gestion	0.0
2012-12-28 01:00:00	Gestion - Accueil Telephonique	0.0
2012-12-28 01:00:00	Gestion Assurances	0.0
