DATE	ASS_ASSIGNMENT	prediction
2012-12-28 00:00:00	CMS	0.0
2012-12-28 00:00:00	Crises	0.0
2012-12-28 00:00:00	Domicile	0.1696337358344442
2012-12-28 00:00:00	Gestion	0.0
2012-12-28 00:00:00	Gestion - Accueil Telephonique	0.016632172993327022
2012-12-28 00:00:00	Gestion Assurances	0.0
2012-12-28 00:00:00	Gestion Relation Clienteles	0.0
2012-12-28 00:00:00	Gestion Renault	0.0
2012-12-28 00:00:00	Japon	0.33464144650559086
2012-12-28 00:00:00	Médical	0.6545150744868325
2012-12-28 00:00:00	Nuit	15.620500406130553
2012-12-28 00:00:00	RENAULT	0.7112494658161758
2012-12-28 00:00:00	Regulation Medicale	0.24777123877593096
2012-12-28 00:00:00	SAP	0.00784672380428173
2012-12-28 00:00:00	Services	0.5773363010718152
2012-12-28 00:00:00	Tech. Axa	3.525741424025858
2012-12-28 00:00:00	Tech. Inter	0.6234720403429471
2012-12-28 00:00:00	Téléphonie	37.86697849471659
2012-12-28 00:30:00	CMS	0.0
2012-12-28 00:30:00	Crises	0.0
2012-12-28 00:30:00	Domicile	0.1379010649916637
2012-12-28 00:30:00	Gestion	0.0
2012-12-28 00:30:00	Gestion - Accueil Telephonique	0.0
2012-12-28 00:30:00	Gestion Assurances	0.0
2012-12-28 00:30:00	Gestion Relation Clienteles	0.0
2012-12-28 00:30:00	Gestion Renault	0.0
2012-12-28 00:30:00	Japon	0.24840065817819026
2012-12-28 00:30:00	Médical	0.5129024701433685
2012-12-28 00:30:00	Nuit	13.306976629054343
2012-12-28 00:30:00	RENAULT	0.8998462507926278
2012-12-28 00:30:00	Regulation Medicale	0.1982785121522034
2012-12-28 00:30:00	SAP	0.0
2012-12-28 00:30:00	Services	0.3633470308149991
2012-12-28 00:30:00	Tech. Axa	3.3464014868962915
2012-12-28 00:30:00	Tech. Inter	0.5386452877056753
2012-12-28 00:30:00	Téléphonie	24.223834724025103
2012-12-28 01:00:00	CMS	0.0
2012-12-28 01:00:00	Crises	0.0
2012-12-28 01:00:00	Domicile	0.05406035113740071
2012-12-28 01:00:00	Gestion	0.0
2012-12-28 01:00:00	Gestion - Accueil Telephonique	0.0
